"","Reporting.Year","Reporting.Quarter","Reporting.Organization","Certified.Type","County","Certified.Capacity","Operational.Capacity","Beginning.Census","End.Census","Male.Census","Female.Census"
"22",2018,4,"Assisted Living at Jennings Hall","S","Kings",40,24,22,22,8,14
"23",2018,4,"Assisted Living at Northern Riverview","E","Rockland",105,105,103,101,40,61
"24",2018,4,"Atria Bay Shore","S","Suffolk",116,116,77,81,15,66
"25",2018,4,"Atria Briarcliff Manor","F","Westchester",200,200,74,74,13,61
"26",2018,4,"Atria Crossgate","S","Albany",83,83,56,56,19,37
"27",2018,4,"Atria Cutter Mill","S","Nassau",130,130,95,101,23,78
"28",2018,4,"Atria Delmar Place","S","Albany",106,106,88,88,23,65
"29",2018,4,"Atria East Northport","F","Suffolk",200,200,148,142,41,101
"30",2018,4,"Atria Forest Hills","S","Queens",90,90,78,78,28,50
"31",2018,4,"Atria Glen Cove","S","Nassau",128,128,67,63,24,39
"32",2018,4,"Atria Greece","F","Monroe",79,79,57,48,8,40
"33",2018,4,"Atria Guilderland","F","Albany",120,120,78,79,23,56
"34",2018,4,"Atria Huntington","F","Suffolk",122,122,99,99,26,73
"35",2018,4,"Atria Kew Gardens","S","Queens",175,175,129,122,34,88
"36",2018,4,"Atria Lynbrook","F","Nassau",200,200,100,93,24,69
"37",2018,4,"Atria on the Hudson","S","Westchester",185,185,129,128,37,91
"38",2018,4,"Atria Park of Great Neck","S","Nassau",162,162,97,92,22,70
"39",2018,4,"Atria Penfield","F","Monroe",120,120,98,98,37,61
"40",2018,4,"Atria Plainview","F","Nassau",99,99,77,79,16,63
"41",2018,4,"Atria Riverdale","S","Bronx",195,195,182,178,45,133
"42",2018,4,"Atria Shaker","S","Albany",146,128,96,98,30,68
"43",2018,4,"Atria South Setauket","F","Suffolk",200,200,81,87,24,63
"44",2018,4,"Atria Tanglewood","F","Nassau",160,160,119,109,29,80
"45",2018,4,"Atria West 86","S","New York",189,189,171,175,51,124
"46",2018,4,"Babylon Beach House Home for Adults","F","Suffolk",67,67,40,40,7,33
"47",2018,4,"Bayview Rest Home, LLC","F","Suffolk",75,75,67,73,49,24
"48",2018,4,"Beacon Pointe Memory Care Community","F","Saratoga",52,52,48,50,14,36
"49",2018,4,"Belle Harbor Manor","E","Queens",162,155,149,145,94,51
"50",2018,4,"Bergquist Memorial Assisted Living Residence","E","Chautauqua",32,32,32,31,7,24
"51",2018,4,"Bethany Village","E","Chemung",144,126,116,116,23,93
"52",2018,4,"Bickford Country Home, LLC","F","Ontario",23,12,0,0,0,0
"53",2018,4,"Bickford Home","F","Wayne",24,24,16,16,16,0
"54",2018,4,"Bida Adult Home","F","Chenango",28,28,21,21,16,5
"55",2018,4,"Birchwood Suites","F","Suffolk",95,95,62,63,29,34
"56",2018,4,"Bishops Commons at St. Luke","S","Oswego",68,68,48,50,17,33
"57",2018,4,"Blocher Homes","E","Erie",65,57,45,44,9,35
"58",2018,4,"Boulevard ALP","S","Queens",239,239,226,222,85,137
"59",2018,4,"Braemar Living at Medford","F","Suffolk",200,200,197,195,37,158
"60",2018,4,"Braemar Living at Wallkill","F","Orange",200,200,184,178,52,126
"61",2018,4,"Brandywine Assisted Living at The Savoy","S","Queens",160,160,141,139,45,94
"62",2018,4,"Brandywine Senior Living at Huntington Terrace","F","Suffolk",54,54,42,45,11,34
"63",2018,4,"Brandywine Senior Living at Huntington Terrace","S","Suffolk",110,88,52,51,13,38
"64",2018,4,"Brentland Woods","S","Monroe",60,55,54,51,22,29
"65",2018,4,"Brentwood Adult Home","F","Suffolk",30,30,29,30,26,4
"66",2018,4,"Briarwood Manor, Inc.","F","Niagara",160,160,112,108,30,78
"67",2018,4,"Bridges Cornell Heights - The Colonial","F","Tompkins",13,10,8,8,2,6
"68",2018,4,"Bridges Cornell Heights - The Tudor","F","Tompkins",15,15,15,13,3,10
"69",2018,4,"Brightview Lake Tappan","F","Rockland",85,85,0,37,12,25
"70",2018,4,"Brightview Tarrytown","F","Westchester",107,107,97,98,25,73
"71",2018,4,"Bristol Home","E","Erie",55,54,46,47,0,47
"72",2018,4,"Bristol Village, Inc.","S","Erie",110,110,84,86,24,62
"73",2018,4,"Brompton Heights","F","Erie",200,200,104,114,26,88
"74",2018,4,"Bronxwood","E","Bronx",320,320,274,274,182,92
"75",2018,4,"Brookdale Bassett Park","F","Erie",80,80,35,39,16,23
"76",2018,4,"Brookdale Bassett Road","F","Erie",105,105,40,50,21,29
"77",2018,4,"Brookdale Bellevue","F","Onondaga",91,91,53,47,15,32
"78",2018,4,"Brookdale Clinton","F","Oneida",40,40,36,39,10,29
"79",2018,4,"Brookdale Colonie","F","Albany",94,94,58,53,16,37
"80",2018,4,"Brookdale East Niskayuna","F","Schenectady",52,52,37,38,16,22
"81",2018,4,"Brookdale East Side","F","Onondaga",88,79,47,39,9,30
"82",2018,4,"Brookdale Fairport","F","Monroe",78,78,38,34,14,20
"83",2018,4,"Brookdale Fayetteville","F","Onondaga",52,52,43,42,9,33
"84",2018,4,"Brookdale Hospital Medical Center ALP","S","Kings",43,43,32,32,13,19
"85",2018,4,"Brookdale Ithaca Assisted Living","S","Tompkins",53,53,47,48,12,36
"86",2018,4,"Brookdale Ithaca Memory Care","F","Tompkins",36,36,35,34,10,24
"87",2018,4,"Brookdale Kenmore","S","Erie",120,120,102,89,38,51
"88",2018,4,"Brookdale Lakewood","S","Chautauqua",100,100,63,65,11,54
"89",2018,4,"Brookdale Liverpool","F","Onondaga",79,79,44,42,15,27
"90",2018,4,"Brookdale Manlius","S","Onondaga",86,86,55,56,22,34
"91",2018,4,"Brookdale Niagara Assisted Living","S","Niagara",53,46,38,42,16,26
"92",2018,4,"Brookdale Niagara Memory Care","F","Niagara",40,40,39,38,9,29
"93",2018,4,"Brookdale Niskayuna","S","Schenectady",110,110,98,101,36,65
"94",2018,4,"Brookdale Painted Post","F","Steuben",110,80,78,77,23,54
"95",2018,4,"Brookdale Pittsford","F","Monroe",52,52,42,43,21,22
"96",2018,4,"Brookdale Vestal East","F","Broome",116,63,33,34,12,22
"97",2018,4,"Brookdale Vestal West","F","Broome",65,65,32,25,11,14
"98",2018,4,"Brookdale West Side Rochester","F","Monroe",72,72,61,59,18,41
"99",2018,4,"Brookdale Williamsville","F","Erie",52,52,31,39,10,29
"100",2018,4,"Brooklyn Adult Care Center","F","Kings",210,210,204,203,154,49
"101",2018,4,"Brooklyn Boulevard ALP","S","Kings",184,184,179,179,95,84
"102",2018,4,"Brooklyn Terrace","F","Kings",200,200,199,199,150,49
"103",2018,4,"Brothers of Mercy Sacred Heart Home","E","Erie",70,67,53,55,15,40
"104",2018,4,"Buckley Landing Enriched Housing Site #6","S","Onondaga",85,85,82,83,12,71
"105",2018,4,"Camillus Ridge Terrace","F","Onondaga",56,50,43,49,7,42
"106",2018,4,"Camphill Ghent, Inc.","E","Columbia",31,31,29,31,8,23
"107",2018,4,"Canterbury Woods","S","Erie",32,32,28,27,9,18
"108",2018,4,"Canterbury Woods Gates Circle","S","Erie",5,5,1,3,1,2
"109",2018,4,"Canton Enriched Housing Program, Inc. EHP #1","S","St.Lawrence",25,25,11,9,4,5
"110",2018,4,"Canton Enriched Housing Program, Inc. EHP# 2","S","St.Lawrence",18,18,9,8,6,2
"111",2018,4,"Carlucci Homes, Inc","F","Orange",23,23,23,22,0,22
"112",2018,4,"Carnegie East House","S","New York",120,104,89,91,25,66
"113",2018,4,"Castle Senior Living at Forest Hills","F","Queens",20,20,20,19,5,14
"114",2018,4,"Castle Senior Living At Forest Hills","S","Queens",177,177,161,160,58,102
"115",2018,4,"Cedarbrook Village, Incorporated","S","Oneida",65,65,52,48,14,34
"116",2018,4,"Cedarwood Senior Living","F","Cortland",37,37,28,27,20,7
"117",2018,4,"Central Assisted Living, LLC","F","Queens",186,186,186,184,105,79
"118",2018,4,"Champlain Valley Senior Community","F","Essex",81,81,61,61,17,44
"119",2018,4,"Chenango County Home Preston Manor","N","Chenango",48,48,32,35,15,20
"120",2018,4,"Chenango Valley Home","E","Chenango",32,30,28,28,2,26
"121",2018,4,"Chester Hill Adult Home","F","Westchester",21,21,19,19,18,1
"122",2018,4,"Christian Fellowship House","E","Nassau",45,45,45,44,11,33
"123",2018,4,"Claddagh Care (L.B.S.H.) EHP #1","S","St.Lawrence",28,28,19,17,7,10
"124",2018,4,"Clara Welch Thanksgiving Home","E","Otsego",26,26,19,18,6,12
"125",2018,4,"Claremont Village ALP","F","Bronx",70,70,70,70,54,16
"126",2018,4,"Clark Meadows at Ferris Hills","S","Ontario",54,54,47,45,14,31
"127",2018,4,"Clinton Crest Manor","E","Yates",42,40,34,28,7,21
"128",2018,4,"Cloverhill Adult Home","F","Orleans",44,44,25,23,8,15
"129",2018,4,"Cobbs Hill Manor","F","Monroe",118,118,87,89,40,49
"130",2018,4,"Cohocton Valley Home for Adults","F","Steuben",10,10,10,10,10,0
"131",2018,4,"Cook Adult Home","F","Saratoga",13,13,9,9,6,3
"132",2018,4,"Countryside Adult Home","N","Warren",48,48,31,30,9,21
"133",2018,4,"Country Valley Home","F","Steuben",19,19,11,11,3,8
"134",2018,4,"Crestview Manor ALP","F","Westchester",76,76,76,73,36,37
"135",2018,4,"Crimson Ridge Gardens","F","Monroe",52,52,46,43,12,31
"136",2018,4,"Crimson Ridge Meadows","F","Monroe",52,52,45,39,15,24
"137",2018,4,"Crossroads","E","Onondaga",59,59,41,42,42,0
"138",2018,4,"Crystal House Manor","F","Dutchess",39,39,39,39,39,0
"139",2018,4,"Culinarians Home Foundation","E","Ulster",18,12,11,11,2,9
"140",2018,4,"Cumberland Gardens NY Foundation EHP #6","S","Kings",47,47,47,46,16,30
"141",2018,4,"Danforth Adult Care Center","F","Rensselaer",80,80,77,76,22,54
"142",2018,4,"Danish Home for the Aged","E","Westchester",24,21,20,19,5,14
"143",2018,4,"Dawn Hill Adult Home","F","Suffolk",30,30,28,28,27,1
"144",2018,4,"Dominican Village Enriched Housing Program 1","S","Suffolk",66,66,61,63,21,42
"145",2018,4,"Dosberg Manor","E","Erie",96,96,75,78,24,54
"146",2018,4,"Dutchess Care","F","Dutchess",92,92,85,85,50,35
"147",2018,4,"East Road Adult Home","F","Lewis",20,20,16,15,6,9
"148",2018,4,"Echo Arms Adult Home","F","Suffolk",49,49,48,48,31,17
"149",2018,4,"Eden Heights","F","Erie",120,120,78,81,23,58
"150",2018,4,"Eden Heights of Olean","F","Cattaraugus",120,93,89,84,19,65
"151",2018,4,"Eden Heights of West Seneca","F","Erie",120,120,91,85,25,60
"152",2018,4,"Eger Harbor House, Inc.","S","Richmond",75,75,74,75,16,59
"153",2018,4,"Elderwood Assisted Living at Cheektowaga","F","Erie",80,80,70,72,12,60
"154",2018,4,"Elderwood Assisted Living at Hamburg","S","Erie",103,103,95,96,13,83
"155",2018,4,"Elderwood Assisted Living at Tonawanda","F","Erie",120,112,87,84,14,70
"156",2018,4,"Elderwood Assisted Living at Waverly","S","Tioga",40,40,33,34,9,25
"157",2018,4,"Elderwood Assisted Living at West Seneca","S","Erie",128,128,105,95,20,75
"158",2018,4,"Elderwood Assisted Living at Wheatfield","F","Niagara",65,65,54,55,7,48
"159",2018,4,"Elderwood Village at Ticonderoga","F","Essex",23,23,9,9,2,7
"160",2018,4,"Elderwood Village at Willamsville","S","Erie",110,110,81,81,15,66
"161",2018,4,"Elizabeth Brewster House","E","Cortland",45,45,32,31,5,26
"162",2018,4,"Elmore Home for Adults","F","Suffolk",22,22,22,21,16,5
"163",2018,4,"Elm York Home for Adults","F","Queens",262,262,252,251,127,124
"164",2018,4,"Emeritus at the Landing of Brockport","S","Monroe",114,99,83,85,25,60
"165",2018,4,"Emeritus at the Landing of Queensbury","S","Warren",88,88,55,55,18,37
"166",2018,4,"E.R.I.E.  EHP #1 Toomey Abbott Tower","S","Onondaga",95,95,64,62,35,27
"167",2018,4,"Evergreen Court Home for Adults SP, LLC","F","Rockland",200,200,121,121,64,57
"168",2018,4,"Evergreen Heights","E","Cayuga",60,60,51,52,36,16
"169",2018,4,"Faatz-Crofut Home for the Elderly","E","Cayuga",53,53,41,45,11,34
"170",2018,4,"Fairlawn Adult Home, Inc.","F","Suffolk",30,30,29,30,21,9
"171",2018,4,"Fairport Baptist Homes Adult Care Facility","E","Monroe",42,42,24,31,7,24
"172",2018,4,"Family Srvs/Rochester EHP1 Danforth Towers East","S","Monroe",28,28,26,25,14,11
"173",2018,4,"Family Srvs/Rochester EHP2 Jonathan Child Project","S","Monroe",30,30,28,26,15,11
"174",2018,4,"Family Srvs/Rochester EHP3 Hudson-Ridge Towers","S","Monroe",47,47,44,45,25,20
"175",2018,4,"Fawn Ridge Senior Living","F","Rensselaer",155,155,57,65,42,23
"176",2018,4,"Five Star Premier Residences of Yonkers","S","Westchester",84,84,74,74,22,52
"177",2018,4,"Five Star Premier Residences of Yonkers","F","Westchester",40,40,36,35,5,30
"178",2018,4,"Focus Senior Living at Utica","S","Oneida",110,110,86,86,48,38
"179",2018,4,"Foltsbrook Center for Senior Living","E","Herkimer",80,80,60,58,16,42
"180",2018,4,"Fox Run at Orchard Park","S","Erie",52,52,49,52,14,38
"181",2018,4,"Frederic Fleming Residence","E","New York",47,47,47,47,19,28
"182",2018,4,"Fredonia Place","S","Chautauqua",84,84,81,78,34,44
"183",2018,4,"Frewsburg Rest Home","F","Chautauqua",81,81,55,58,23,35
"184",2018,4,"Gallagher Home","F","Putnam",16,16,9,8,2,6
"185",2018,4,"Garden House","S","Erie",48,48,47,40,2,38
"186",2018,4,"Garden House For Adults","F","Broome",24,24,18,18,2,16
"187",2018,4,"Garden of Eden Assisted Living Program","F","Kings",201,201,181,176,102,74
"188",2018,4,"Garnerville Home","F","Rockland",39,39,33,30,20,10
"189",2018,4,"Genesee Adult Home","F","Genesee",80,80,69,64,25,39
"190",2018,4,"Glen Arden, Inc.","S","Orange",28,28,17,18,3,15
"191",2018,4,"Glenmere at Cloverwood","S","Monroe",77,77,54,51,15,36
"192",2018,4,"Glenwell","E","Erie",120,120,87,88,31,57
"193",2018,4,"Good Shepherd- Fairview Home, Inc.","E","Broome",67,67,67,61,10,51
"194",2018,4,"Good Shepherd Village at Endwell","E","Broome",32,32,28,29,6,23
"195",2018,4,"Grande?ville Senior Living Community","F","Monroe",115,115,105,99,31,68
"196",2018,4,"Greece Long Pond Senior Housing","S","Monroe",30,30,27,27,8,19
"197",2018,4,"Green Briar Adult Home","F","Dutchess",53,53,53,51,32,19
"198",2018,4,"Greenfield Court","S","Erie",57,53,50,50,15,35
"199",2018,4,"GreenField Terrace","E","Erie",56,56,43,47,13,34
"200",2018,4,"Green Hills Estate","F","Rockland",164,164,113,113,74,39
"201",2018,4,"Gurwin Jewish Fay J. Lindner Residence","E","Suffolk",65,65,60,58,13,45
"202",2018,4,"Gurwin Jewish Fay J. Lindner Residence","S","Suffolk",200,200,158,153,46,107
"203",2018,4,"Hamilton Manor Home for Adults","F","Madison",38,38,7,7,3,4
"204",2018,4,"Hampshire House Adult Home","F","Otsego",65,65,48,48,19,29
"205",2018,4,"Harbor House","F","Nassau",136,136,106,105,38,67
"206",2018,4,"Harbor Terrace Adult Home and Assisted Living","F","Richmond",363,363,276,268,168,100
"207",2018,4,"Harbor View Home for Adults","F","Kings",162,162,81,76,34,42
"208",2018,4,"Hawthorne Ridge, Inc.","E","Rensselaer",66,66,57,61,15,46
"209",2018,4,"Heather Heights of Pittsford","F","Monroe",120,120,82,74,26,48
"210",2018,4,"Heathwood Assisted Living at Penfield","S","Monroe",151,151,109,112,24,88
"211",2018,4,"Heathwood Assisted Living at Williamsville","F","Erie",115,115,98,101,22,79
"212",2018,4,"Hedgewood ALP, LLC","F","Dutchess",192,192,187,190,123,67
"213",2018,4,"Helen Keller National Center","E","Nassau",52,32,25,23,11,12
"214",2018,4,"Heritage at the Plains at Parish Homestead","F","Otsego",53,53,39,41,8,33
"215",2018,4,"Heritage Home for Women","E","Schenectady",36,36,36,31,0,31
"216",2018,4,"Heritage Manor of Lockport","F","Niagara",64,44,38,34,5,29
"217",2018,4,"Heritage Manor of Ransomville Assisted Living Program","F","Niagara",142,142,111,107,65,42
"218",2018,4,"Hidden Gem Home for Adults","F","Suffolk",18,18,18,18,5,13
"219",2018,4,"Hillcrest Spring Residential","F","Montgomery",80,80,73,70,19,51
"220",2018,4,"Hilltop Manor West","E","Broome",98,98,89,94,16,78
"221",2018,4,"Hilton East Assisted Living","F","Monroe",205,178,145,142,50,92
"222",2018,4,"Holbrook Adult Home","F","Washington",33,29,27,27,7,20
"223",2018,4,"Home of the Good Shepherd","E","Saratoga",42,42,37,40,12,28
"224",2018,4,"Home of the Good Shepherd at Highpointe","E","Saratoga",86,86,79,79,17,62
"225",2018,4,"Home of the Good Shepherd Moreau","E","Saratoga",72,72,64,65,18,47
"226",2018,4,"Home of the Good Shepherd Saratoga","E","Saratoga",105,105,97,90,25,65
"227",2018,4,"Home of the Good Shepherd Wilton","E","Saratoga",54,54,50,45,10,35
"228",2018,4,"Home Sweet Home of Athens, Inc.","F","Greene",24,24,22,22,10,12
"229",2018,4,"Home Sweet Home on the Hudson","F","Greene",60,50,48,44,9,35
"230",2018,4,"Horizons","E","Ontario",76,76,53,55,11,44
"231",2018,4,"Hudson Valley Senior Residence","E","Ulster",48,48,27,25,7,18
"232",2018,4,"Hultquist Place","E","Chautauqua",96,96,87,85,20,65
"233",2018,4,"Hyde Park Assisted Living Facility, Inc.","F","Dutchess",78,78,55,64,30,34
"234",2018,4,"Ideal Senior Living Center","E","Broome",70,70,65,64,19,45
"235",2018,4,"Ingersoll Place","E","Schenectady",78,78,67,66,18,48
"236",2018,4,"Island Assisted Living","E","Nassau",200,200,194,195,92,103
"237",2018,4,"Ivy Lodge","F","Ulster",40,40,32,27,3,24
"238",2018,4,"Jeffersonville Senior Living","F","Sullivan",49,49,48,48,25,23
"239",2018,4,"Jeff Senior Living","F","Sullivan",11,11,11,10,10,0
"240",2018,4,"Judson Meadows","S","Schenectady",80,80,70,73,16,57
"241",2018,4,"Juniper Glen Alzheimers Special Care Center","F","Erie",66,66,39,46,11,35
"242",2018,4,"Kalets Adult Home","F","Onondaga",45,45,43,44,30,14
"243",2018,4,"Keene Valley Neighborhood House","E","Essex",50,50,45,45,7,38
"244",2018,4,"Keepsake Village at Greenpoint","F","Onondaga",57,56,52,52,19,33
"245",2018,4,"Kendal at Ithaca","E","Tompkins",36,36,34,33,7,26
"246",2018,4,"Kendal on Hudson","S","Westchester",47,47,31,36,7,29
"247",2018,4,"Ken-Ton Presbyterian Village EHP","S","Erie",49,49,40,38,12,26
"248",2018,4,"Kenwood Manor","E","Albany",67,67,46,46,22,24
"249",2018,4,"Kings Adult Care Center","F","Kings",220,220,195,195,125,70
"250",2018,4,"Kingsway Manor, LLC","F","Schenectady",140,140,122,113,25,88
"251",2018,4,"Lakeside Manor Home for Adults, Inc.","F","Richmond",200,200,179,183,132,51
"252",2018,4,"Laurelwood at the Highlands","S","Monroe",68,68,55,54,13,41
"253",2018,4,"LDor","F","Rockland",44,44,44,44,32,12
"254",2018,4,"Legacy at Cranberry Landing","F","Monroe",78,78,56,53,16,37
"255",2018,4,"Legacy at Maiden Park","F","Monroe",98,98,54,54,15,39
"256",2018,4,"Leroy Manor","F","Genesee",79,79,75,79,42,37
"257",2018,4,"Lincoln Rest Home","F","Westchester",23,23,21,20,16,4
"258",2018,4,"Lockport Presbyterian Home","E","Niagara",60,60,35,36,10,26
"259",2018,4,"Long Beach Assisted Living","F","Nassau",200,200,200,197,127,70
"260",2018,4,"Long Island Living Center","F","Queens",306,175,172,166,71,95
"261",2018,4,"Longview, an Ithacare Community","E","Tompkins",96,96,85,86,30,56
"262",2018,4,"Loretto EHP #1 Bernardine Apartments","S","Onondaga",148,148,122,121,49,72
"263",2018,4,"Loretto EHP #3 Nottingham","S","Onondaga",64,48,45,47,11,36
"264",2018,4,"Loretto Village Apts. Enriched Housing Site #5","S","Onondaga",79,79,79,77,16,61
"265",2018,4,"Lott Assisted Living Residence","S","New York",131,127,126,127,52,75
"266",2018,4,"Loudonville Assisted Living Residence","F","Albany",105,105,86,86,20,66
"267",2018,4,"Lutheran Home of Central New York","E","Oneida",68,68,44,43,12,31
"268",2018,4,"Madison York Assisted Living Community, LLC","F","Queens",226,226,212,208,120,88
"269",2018,4,"Madison York Home for Adults","F","Queens",202,202,189,189,115,74
"270",2018,4,"Manlius Home for Adults","F","Onondaga",39,39,27,30,11,19
"271",2018,4,"Manor Haven Adult Home, Inc.","F","Suffolk",32,32,31,32,20,12
"272",2018,4,"Manor Hills","F","Allegany",137,137,109,106,31,75
"273",2018,4,"Maple House","S","Westchester",25,25,14,14,7,7
"274",2018,4,"Maple Rest","F","Suffolk",27,27,26,26,18,8
"275",2018,4,"Maplewood Assisted Living","E","St.Lawrence",48,48,45,47,4,43
"276",2018,4,"Maplewood Commons","S","Westchester",80,80,51,48,18,30
"277",2018,4,"Marchand Manor","F","Schoharie",36,36,25,25,12,13
"278",2018,4,"Marian Woods","E","Westchester",50,50,46,46,0,46
"279",2018,4,"Mariners Residence, Inc.","F","Richmond",270,270,211,209,126,83
"280",2018,4,"Marjorie Doyle Rockwell Center","E","Albany",52,52,52,49,8,41
"281",2018,4,"Mary Agnes Manor ALP","F","Erie",230,230,181,183,93,90
"282",2018,4,"Maryville Assisted Living","F","Suffolk",32,32,31,30,10,20
"283",2018,4,"Maryville Home For Adults","F","Steuben",14,14,13,13,3,10
"284",2018,4,"Masonic Home","E","Oneida",96,80,59,66,23,43
"285",2018,4,"Massry Residence at Daughters of Sarah","S","Albany",70,70,53,54,10,44
"286",2018,4,"McHarrie Pointe","E","Onondaga",47,47,40,44,8,36
"287",2018,4,"McPeaks Adult Home","F","Suffolk",51,51,48,45,12,33
"288",2018,4,"Meadowbrook Terrace Assisted Living Facility","E","Jefferson",60,60,51,51,13,38
"289",2018,4,"Meadowview at the Wartburg","S","Westchester",105,105,101,100,13,87
"290",2018,4,"Memory Garden","F","Chautauqua",56,56,48,38,12,26
"291",2018,4,"Mermaid Manor Home for Adults","F","Kings",200,200,191,195,127,68
"292",2018,4,"Metro Interfaith EHP","S","Broome",37,37,24,21,8,13
"293",2018,4,"Metro Interfaith Housing","S","Broome",11,11,3,2,1,1
"294",2018,4,"Middleville Rest Home","F","Herkimer",24,24,23,23,12,11
"295",2018,4,"Millview of Latham, LLC","F","Albany",55,55,44,46,10,36
"296",2018,4,"Missionary Sisters of St. Benedict","E","Suffolk",60,43,43,42,2,40
"297",2018,4,"Moffat Gardens ALP, Inc.","S","Kings",30,30,25,25,8,17
"298",2018,4,"Mohawk Homestead","E","Herkimer",41,41,25,30,9,21
"299",2018,4,"Mohegan Park","F","Westchester",150,150,150,131,86,45
"300",2018,4,"Morgan Estates","F","Livingston",78,78,63,64,12,52
"301",2018,4,"Morningside at Home Assisted Living Program","F","Bronx",40,40,36,33,18,15
"302",2018,4,"Morningside Manor","F","Dutchess",20,18,12,11,10,1
"303",2018,4,"Mountain Valley Manor","F","Ulster",53,53,44,44,11,33
"304",2018,4,"Mount Alverno Center","E","Orange",85,79,43,48,12,36
"305",2018,4,"Mount View Assisted Living","F","Niagara",150,150,140,141,40,101
"306",2018,4,"New Broadview Home For Adults","F","Richmond",200,200,184,186,99,87
"307",2018,4,"New Brookhaven Town House for Adults","F","Suffolk",182,182,174,172,113,59
"308",2018,4,"New Fordham Arms Assisted Living","F","Bronx",35,35,29,33,21,12
"309",2018,4,"New Glorias Manor Home for Adults","F","Queens",172,172,161,161,116,45
"310",2018,4,"New Haven Manor","F","Queens",123,123,121,119,74,45
"311",2018,4,"New Homestead Home for Adults, Inc.","F","Queens",163,163,105,101,37,64
"312",2018,4,"New Monsey Park Home","F","Rockland",263,263,209,213,153,60
"313",2018,4,"New Rochelle Home for Adults","F","Westchester",250,248,191,186,135,51
"314",2018,4,"New South Shore Manor","F","Kings",74,74,67,68,40,28
"315",2018,4,"New Sunnyside Adult Home","F","Onondaga",20,20,15,13,3,10
"316",2018,4,"New Windsor Country Inn","F","Orange",86,82,52,51,18,33
"317",2018,4,"North Brook Heights Home for Adults","F","Cayuga",178,178,94,103,39,64
"318",2018,4,"Norwegian Christian Home and Health Care Center","E","Kings",88,88,79,78,21,57
"319",2018,4,"NY Found-Sr Citizens EHP#2 Brown Gardens","S","New York",47,47,46,47,13,34
"320",2018,4,"NY Found-Sr Citizens EHP#3","S","New York",32,30,31,30,13,17
"321",2018,4,"NY Found-Sr Citizens EHP#4 Ridge Street Gardens","S","New York",47,45,45,45,14,31
"322",2018,4,"NY Found-Sr Citizens EHP#5 Clinton Gardens","S","New York",47,47,45,47,18,29
"323",2018,4,"Oakwood Senior Living","F","Erie",148,148,99,112,54,58
"324",2018,4,"Oceanview Manor Home for Adults","F","Kings",176,176,167,170,116,54
"325",2018,4,"Old Peoples Russian Orthodox Convent","E","Rockland",76,65,26,24,1,23
"326",2018,4,"Olsen Rest","F","Suffolk",40,40,33,35,10,25
"327",2018,4,"Orchard Grove Residences","E","Chautauqua",36,36,31,31,1,30
"328",2018,4,"Orchard Heights","F","Erie",200,200,145,143,43,100
"329",2018,4,"Oyster Bay Manor","F","Nassau",72,72,52,52,20,32
"330",2018,4,"Palisade Gardens","F","Westchester",106,106,106,102,64,38
"331",2018,4,"Park Creek Senior Living Community","F","Erie",94,94,80,81,22,59
"332",2018,4,"Park Inn Home","F","Queens",181,181,176,179,117,62
"333",2018,4,"Park Terrace at Radisson","F","Onondaga",65,65,48,46,7,39
"334",2018,4,"Parkview Home for Adults","F","Bronx",134,134,114,108,81,27
"335",2018,4,"Parkwood Heights Senior Living Community","S","Wayne",49,49,35,37,10,27
"336",2018,4,"Pearl Garden Manor","F","Suffolk",25,25,25,25,18,7
